ma_quy_tac,ten_quy_tac,ten_don_vi,loai_don_vi,pham_vi,ket_qua,can_cu,muc_uu_tien,ngay_hieu_luc,ngay_het_hieu_luc,dang_ap_dung,la_mock,ghi_chu
MOCK_DV00001,Quy tắc demo cho Bộ Công an,Bộ Công an,CA,DON_VI,YES,[MOCK] Quy tắc demo theo nhóm CA,50,2026-09-01,,1,1,"Dữ liệu giả lập phục vụ GĐ1, không phải quy định pháp lý thực tế."
MOCK_DV00002,Quy tắc demo cho Cục Chính trị (CA),Cục Chính trị (CA),CA,DON_VI,YES,[MOCK] Quy tắc demo theo nhóm CA,50,2026-09-01,,1,1,"Dữ liệu giả lập phục vụ GĐ1, không phải quy định pháp lý thực tế."
MOCK_DV00003,Quy tắc demo cho Phòng Nhân sự - Cục Chính trị (CA),Phòng Nhân sự - Cục Chính trị (CA),CA,DON_VI,YES,[MOCK] Quy tắc demo theo nhóm CA,50,2026-09-01,,1,1,"Dữ liệu giả lập phục vụ GĐ1, không phải quy định pháp lý thực tế."
MOCK_DV00004,Quy tắc demo cho Phòng Công nghệ - Cục Chính trị (CA),Phòng Công nghệ - Cục Chính trị (CA),CA,DON_VI,YES,[MOCK] Quy tắc demo theo nhóm CA,50,2026-09-01,,1,1,"Dữ liệu giả lập phục vụ GĐ1, không phải quy định pháp lý thực tế."
MOCK_DV00005,Quy tắc demo cho Phòng Truyền thông - Cục Chính trị (CA),Phòng Truyền thông - Cục Chính trị (CA),CA,DON_VI,YES,[MOCK] Quy tắc demo theo nhóm CA,50,2026-09-01,,1,1,"Dữ liệu giả lập phục vụ GĐ1, không phải quy định pháp lý thực tế."
MOCK_DV00006,Quy tắc demo cho Phòng Tác chiến - Cục Chính trị (CA),Phòng Tác chiến - Cục Chính trị (CA),CA,DON_VI,YES,[MOCK] Quy tắc demo theo nhóm CA,50,2026-09-01,,1,1,"Dữ liệu giả lập phục vụ GĐ1, không phải quy định pháp lý thực tế."
MOCK_DV00007,Quy tắc demo cho Cục Tham mưu (CA),Cục Tham mưu (CA),CA,DON_VI,YES,[MOCK] Quy tắc demo theo nhóm CA,50,2026-09-01,,1,1,"Dữ liệu giả lập phục vụ GĐ1, không phải quy định pháp lý thực tế."
MOCK_DV00008,Quy tắc demo cho Phòng Hành chính - Cục Tham mưu (CA),Phòng Hành chính - Cục Tham mưu (CA),CA,DON_VI,YES,[MOCK] Quy tắc demo theo nhóm CA,50,2026-09-01,,1,1,"Dữ liệu giả lập phục vụ GĐ1, không phải quy định pháp lý thực tế."
MOCK_DV00009,Quy tắc demo cho Phòng Truyền thông - Cục Tham mưu (CA),Phòng Truyền thông - Cục Tham mưu (CA),CA,DON_VI,YES,[MOCK] Quy tắc demo theo nhóm CA,50,2026-09-01,,1,1,"Dữ liệu giả lập phục vụ GĐ1, không phải quy định pháp lý thực tế."
MOCK_DV00010,Quy tắc demo cho Phòng Nhân sự - Cục Tham mưu (CA),Phòng Nhân sự - Cục Tham mưu (CA),CA,DON_VI,YES,[MOCK] Quy tắc demo theo nhóm CA,50,2026-09-01,,1,1,"Dữ liệu giả lập phục vụ GĐ1, không phải quy định pháp lý thực tế."
